PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,154.7,130,24.7
20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.4,260,49.4
40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
50,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
60,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
70,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.4,260,49.4
80,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
90,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
100,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507,96.33
10,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198,227.62
20,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,117.81,99,18.81
30,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
40,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,1425.62,1198,227.62
50,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198,37.62
60,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
70,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,2138.43,1797,341.43
80,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,353.43,297,56.43
90,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
100,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,2138.43,1797,341.43
10,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,2424.03,2037,387.03
20,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,1783.81,1499,284.81
30,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,1616.02,1358,258.02
40,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
50,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
60,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
70,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
80,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
10,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,3566.43,2997,569.43
20,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,1017.45,855,162.45
30,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117,22.23
40,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,1188.81,999,189.81
50,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,339.15,285,54.15
10,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,107.08,89.98,17.1
20,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.9,15.18
30,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,3927,3300,627
40,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
50,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.7,45.54
10,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,53.55,45,8.55
20,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498,474.62
30,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
40,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
50,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498,474.62
60,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
70,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
10,74867AD200E41EDBA5D8B06B26F2E052  ,MXN          ,210.63,177,33.63
20,74867AD200E41EDBA5D8B06B26ED4052  ,MXN          ,1463.7,1230,233.7
30,74867AD200E41EDBA5D8B06B26F88052  ,MXN          ,2673.93,2247,426.93
10,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,333.18,279.98,53.2
20,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,224.91,189,35.91
30,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,166.59,139.99,26.6
40,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,149.94,126,23.94
50,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,333.18,279.98,53.2
60,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,74.97,63,11.97
70,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,499.76,419.97,79.79
80,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,74.97,63,11.97
10,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1023.4,860,163.4
20,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
30,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98,18.62
40,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1535.1,1290,245.1
50,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
